Coverage,Re,Peak_day,Peak_infections,Total_infections,Attack_rate
60.0,6.450000000000001,14,271404.90728571394,624289.9684999802,62.42899684999802
70.0,5.025000000000001,18,193032.82867028363,529210.7789866346,52.92107789866346
80.0,3.5999999999999996,26,115906.99776479667,412396.98491789063,41.23969849178906
85.0,2.8875,33,78619.74703834388,340820.169016068,34.0820169016068
90.0,2.1750000000000003,49,42914.53769467797,253875.9234704828,25.387592347048283
92.0,1.8900000000000001,61,29522.389656864427,211682.19467956887,21.168219467956888
94.0,1.6050000000000013,81,17153.269683107552,162632.64596651855,16.263264596651855
95.0,1.4625000000000004,99,11598.86517961002,134624.27606967895,13.462427606967895
96.0,1.3200000000000012,129,6561.318401315888,102495.35818327346,10.249535818327345
97.0,1.1775000000000002,186,2525.547889526028,62417.2906233134,6.24172906233134
98.0,1.035000000000001,290,215.18837907708823,9482.254230701947,0.9482254230701946
99.0,0.8925,0,100.0,904.4737202259712,0.09044737202259713
