Year,MCV1,MCV2,measles_cases,population,measles_incidence_per_100k,MCV2_change,measles_incidence_change,period
2014.0,85.0,60.0,80920.0,1312277191,6.17,,,Other
2015.0,87.0,69.0,82461.0,1328024498,6.21,9.0,0.040000000000000036,Other
2016.0,88.0,76.0,69888.0,1343944296,5.2,7.0,-1.0099999999999998,Other
2017.0,90.0,80.0,58054.0,1359657400,4.27,4.0,-0.9300000000000006,Other
2018.0,93.0,82.0,19367.0,1374659064,1.41,2.0,-2.8599999999999994,Other
2019.0,95.0,84.0,10708.0,1389030312,0.77,2.0,-0.6399999999999999,Other
2020.0,89.0,81.0,5598.0,1402617695,0.4,-3.0,-0.37,COVID period
2021.0,89.0,82.0,6025.0,1414203896,0.43,1.0,0.02999999999999997,COVID period
2022.0,95.0,90.0,43578.0,1425423212,3.06,8.0,2.63,Other
2023.0,93.0,90.0,68794.0,1438069596,4.78,0.0,1.7200000000000002,Other
2024.0,97.0,92.0,20635.0,1450935791,1.42,2.0,-3.3600000000000003,Other
2025.0,98.0,95.0,18794.0,1463865525,1.28,3.0,-0.1399999999999999,Other
