Year,MCV1,MCV2,measles_cases,population,measles_incidence_per_100k
2014.0,85.0,60.0,80920.0,1312277191,6.17
2015.0,87.0,69.0,82461.0,1328024498,6.21
2016.0,88.0,76.0,69888.0,1343944296,5.2
2017.0,90.0,80.0,58054.0,1359657400,4.27
2018.0,93.0,82.0,19367.0,1374659064,1.41
2019.0,95.0,84.0,10708.0,1389030312,0.77
2020.0,89.0,81.0,5598.0,1402617695,0.4
2021.0,89.0,82.0,6025.0,1414203896,0.43
2022.0,95.0,90.0,43578.0,1425423212,3.06
2023.0,93.0,90.0,68794.0,1438069596,4.78
2024.0,97.0,92.0,20635.0,1450935791,1.42
2025.0,98.0,95.0,18794.0,1463865525,1.28
