MCV2_coverage_percent,Probability_Re_gt_1_percent,median_total_infections,lower_total_infections,upper_total_infections,median_peak_infections,lower_peak_infections,upper_peak_infections,median_attack_rate
80.0,100.0,320020028.04638624,294936266.3260683,342231932.7811062,115818517.92285335,85919958.21920227,143649460.6927701,21.86129959214568
85.0,100.0,239242666.03547728,206366134.28614992,266273109.01425076,68270236.44855237,43934196.939661704,92776845.04616973,16.34321335871868
90.0,100.0,149495565.4681989,105852751.01723489,184360143.33854946,28044667.42088557,11904616.087550277,47343589.52433004,10.212383782191939
92.0,100.0,109776250.54916656,59476820.79963671,148912246.04192796,15302649.748104423,3817518.1869057305,31507081.760989264,7.499066592825631
94.0,98.91,66235253.58631122,6748730.721757383,111256658.00908197,5607239.307904095,56419.170966417034,17838761.715128496,4.52468156774928
95.0,89.69,42327259.13342726,8567.111317276955,91024878.44439824,2292921.7464280617,531.2764147741838,12029580.682153154,2.89147181968284
96.0,68.46,16639389.771783829,2369.4561087191105,69794188.56361364,353677.7412180982,243.5319368762607,7103341.912216131,1.1366747483027055
97.0,37.74,18212.962696552277,1018.6578383028508,46892481.038759276,1598.696036656298,170.14327543331973,3219177.098179137,0.0012441691115413266
98.0,13.98,5272.88386285305,578.3078851342201,22350497.41144137,1198.4545015818085,151.23274761013172,730531.2264758408,0.00036020274900954786
99.0,1.1400000000000001,3098.0720489025116,389.291775906086,40904.83752349609,1058.5364323568979,146.0712642399843,1971.5370872250141,0.00021163638298692165
